gem_id,name,name_other,country,lat,lon,status,kind,wkt
100000308677,"Kimiwan Gas Field (Alberta, Canada)",,canada,55.898,-117.068,,GOGET,
100000322759,"Wolfcamp (Gas) - Civitas Permian Operating Oil and Gas Asset (New Mexico, United States)",,united states,32.6139,-104.0835,,GOGET,
100000309571,"9727F/Peace River Area 2 Oil and Gas Asset (Alberta, Canada)",,canada,56.172,-116.132,,GOGET,
100000321706,"Hawkville (Eagleford Shale) - Mitsui E&P Usa Oil and Gas Asset (Texas, United States)",,united states,27.9297,-99.3233,,GOGET,
100000321004,"8558BBB/Cold Lake Oil Asset (Alberta, Canada)",,canada,54.880524,-115.002256,,GOGET,
100000323369,"Yurubcheno-Tokhomskoye (Rosneft) Oil and Gas Asset (Krasnodar, Russia)",,russia,60.2508,97.0833,,GOGET,
100000322374,"Cymric - Chevron U.S.A. (Unconventional) (San Joaquin (Abd)) Oil and Gas Asset (California, United States)",,united states,35.352,-119.6707,,GOGET,
100000322426,"Stockdale - Crimson Resource Management. Oil and Gas Asset (California, United States)",,united states,35.3107,-119.0558,,GOGET,
100000309483,"12910A/Athabasca Oil Asset (Alberta, Canada)",,canada,55.85,-114.294,,GOGET,
100000302081,Judy Oil and Gas Field (United Kingdom),,,56.6914,2.3242,,GOGET,
100000321572,"Eagleville (Eagle Ford-1) - Repsol Oil & Gas Usa Oil and Gas Asset (Texas, United States)",,united states,28.5041,-98.481,,GOGET,
100000319619,"Altares - Pacific Canbriam Oil and Gas Asset (British Columbia, Canada)",,canada,56.267,-122.01,,GOGET,
100000309291,"13014/Peace River Area 2 Oil and Gas Asset (Alberta, Canada)",,canada,56.552,-116.116,,GOGET,
100000309488,"5692D/Cold Lake Oil and Gas Asset (Alberta, Canada)",,canada,53.839,-110.81,,GOGET,
100000321288,Bozhong 34-1 Oil Project (China),,,38.16,119.5551,,GOGET,
100000312899,"South Sebuku Gas Field (Kalimantan, Indonesia)",,,-2.0357,117.8663,,GOGET,
100000317228,"Cañadon Alfa-Ara-Ara Sur-Antares-Argo (Tierra del Fuego) Oil and Gas Field (Tierra del Fuego, Argentina)",,,-52.719,-68.402,,GOGET,
100000312488,"Ust-Tegusskoye Oil and Gas Field (Tyumen, Russia)",,russia,58.7006,73.8822,,GOGET,
100000304912,Siri Oil and Gas Field (Denmark),,,56.4941,4.9592,,GOGET,
100000301426,Johan Castberg Oil and Gas Field (Norway),"['Skrugard, Havis, Drivis']",,72.5195,20.343,,GOGET,
100000302735,"Juspi Oil and Gas Field (Chiapas, Mexico)",,mexico,17.8337,-93.2404,,GOGET,"MULTIPOLYGON (((-93.2907627651894 17.8504147452443,-93.2908371112437 17.851259553086,-93.2908892467413 17.8521918739559,-93.2908991114048 17.8533393855043,-93.2908285577917 17.8546094827414,-93.2906383053135 17.8559085129676,-93.2902867432386 17.857140666009,-93.2897297175524 17.8582077709719,-93.2888735566693 17.8590785323485,-93.2878166410251 17.8596553808912,-93.2866563887813 17.8599579299145,-93.2854373244729 17.8601062479051,-93.2841623960777 17.860202793724,-93.2828505235328 17.8602650969567,-93.2801633681449 17.8603309174379,-93.2622614032412 17.8604631960197,-93.2347278116392 17.8607447836449,-93.220611863047 17.8607850813665,-93.2168806918904 17.860783052496,-93.2166954909042 17.8523868667605,-93.2166907271953 17.8484520666096,-93.216609162283 17.845146523893,-93.2133280631396 17.8433556967081,-93.2071266000125 17.8399600949825,-93.2002908711268 17.835952729435,-93.1923486730528 17.8318836038453,-93.18399604688 17.8276187138326,-93.1752202645036 17.8229995044236,-93.175238685317 17.8203512510095,-93.1752744315697 17.8190529069661,-93.1753412997612 17.8177844105222,-93.1754543328511 17.8165599907511,-93.1756340875431 17.8153991242702,-93.1759082845397 17.8143281036591,-93.1763138239238 17.8133819422229,-93.1768991710599 17.8126066438815,-93.1777248350331 17.8120282772833,-93.1787376038573 17.8116276688818,-93.179885995842 17.8113559081487,-93.181131093725 17.8111760221557,-93.1824438925715 17.8110604538769,-93.183803072154 17.8109889469824,-93.185193183019 17.8109468254357,-93.1880253891604 17.810911956022,-93.1980416918706 17.8108881500682,-93.2079911722548 17.8108004841551,-93.2447646224893 17.8102951128292,-93.2645937949677 17.8099763049625,-93.270294542559 17.8098510464886,-93.278521614381 17.8097366473284,-93.2777240821007 17.8115561161219,-93.2772450033542 17.8131411469464,-93.2769407249345 17.8147687633678,-93.2768148540222 17.8164198035312,-93.2768436449182 17.817744398785,-93.2770411828043 17.8193883891629,-93.2776145473734 17.8216334090546,-93.2783723242234 17.8234697860018,-93.2791820369214 17.8249141628584,-93.279939737329 17.826001046611,-93.2814821420872 17.8277302513501,-93.2824757346674 17.8286067360121,-93.2835417280683 17.8293936257153,-93.2846720364852 17.8300849534579,-93.2861623165376 17.8308068653446,-93.2874054700864 17.8312652695766,-93.2890076698681 17.8316836674673,-93.291306826249 17.8319725836679,-93.291078794151 17.8345648210097,-93.2907627651894 17.8504147452443)))"
100000320606,"Mipaya (56) Gas Field (Cusco, Peru)",,peru,-11.483,-73.105,,GOGET,
100000321701,"Hawkville (Eagleford Shale) - Gulftex Energy Oil and Gas Asset (Texas, United States)",,united states,28.324,-98.8951,,GOGET,
100000312196,Salman Oil and Gas Field (Iran),,,25.5506,53.1235,,GOGET,"MULTIPOLYGON (((53.1630831092716 25.5927953561605,53.1030666772688 25.5722182937596,53.0722010836674 25.5224903929573,53.084204370068 25.4813362681554,53.1305027604701 25.4436116537537,53.1802306612724 25.4556149401543,53.2179552756741 25.5001985753563,53.2248142964744 25.5859363353602,53.1853749268726 25.5979396217608,53.1630831092716 25.5927953561605)))"
100000322308,"Cymric - Chevron U.S.A. (Conventional) Oil and Gas Asset (California, United States)",,united states,35.347,-119.6536,,GOGET,
