SheetRow,ProjectID,action,before_BH,before_BI,after_BH,after_BI
3663,P6704,MOVE,https://www.youm7.com/story/2023/7/10/%D8%A7%D9%81%D8%AA%D8%AA%D8%A7%D8%AD-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%B1%D8%A8%D8%B7-%D8%BA%D8%A7%D8%B2-%D8%AD%D9%82%D9%84-%D8%B1%D9%8A%D9%81%D9%8A%D9%86-%D8%B9%D9%84%D9%89-%D9%85%D8%AC%D9%85%D8%B9-%D8%BA%D8%A7%D8%B2%D8%A7%D8%AA-%D8%A7%D9%84%D8%B5%D8%AD%D8%B1%D8%A7%D8%A1/6237653,,,https://www.youm7.com/story/2023/7/10/%D8%A7%D9%81%D8%AA%D8%AA%D8%A7%D8%AD-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%B1%D8%A8%D8%B7-%D8%BA%D8%A7%D8%B2-%D8%AD%D9%82%D9%84-%D8%B1%D9%8A%D9%81%D9%8A%D9%86-%D8%B9%D9%84%D9%89-%D9%85%D8%AC%D9%85%D8%B9-%D8%BA%D8%A7%D8%B2%D8%A7%D8%AA-%D8%A7%D9%84%D8%B5%D8%AD%D8%B1%D8%A7%D8%A1/6237653
3664,P6705,MOVE,https://www.opec.org/opec_web/static_files_project/media/downloads/publications/ASB2017_13062017.pdf,,,https://www.opec.org/opec_web/static_files_project/media/downloads/publications/ASB2017_13062017.pdf
3665,P6707,MOVE,https://sirtggp.com/ar/projects/%d8%aa%d9%88%d8%b1%d9%8a%d8%af-%d9%88%d8%aa%d8%b1%d9%83%d9%8a%d8%a8-%d8%ae%d8%b7-%d8%ba%d8%a7%d8%b2-24-%d8%a8%d8%b7%d9%88%d9%84-5-%d9%83%d9%85-%d9%85%d8%ad%d8%b7%d8%a9-%d8%a7%d9%84%d8%ae%d9%84%d9%8a/,,,https://sirtggp.com/ar/projects/%d8%aa%d9%88%d8%b1%d9%8a%d8%af-%d9%88%d8%aa%d8%b1%d9%83%d9%8a%d8%a8-%d8%ae%d8%b7-%d8%ba%d8%a7%d8%b2-24-%d8%a8%d8%b7%d9%88%d9%84-5-%d9%83%d9%85-%d9%85%d8%ad%d8%b7%d8%a9-%d8%a7%d9%84%d8%ae%d9%84%d9%8a/
3666,P6708,MOVE,https://libyasummit.com/libya-rolls-out-downstream-gas-capture-plans/,,,https://libyasummit.com/libya-rolls-out-downstream-gas-capture-plans/
3667,P6709,MOVE,https://www.opec.org/opec_web/static_files_project/media/downloads/publications/ASB2013.pdf,,,https://www.opec.org/opec_web/static_files_project/media/downloads/publications/ASB2013.pdf
3671,P6713,MOVE,https://www.opec.org/opec_web/static_files_project/media/downloads/publications/ASB2017_13062017.pdf,,,https://www.opec.org/opec_web/static_files_project/media/downloads/publications/ASB2017_13062017.pdf
3672,P6714,MOVE,https://www.opec.org/opec_web/static_files_project/media/downloads/publications/ASB2017_13062017.pdf,,,https://www.opec.org/opec_web/static_files_project/media/downloads/publications/ASB2017_13062017.pdf
3673,P6715,MOVE,https://mellitahog.ly/wp-content/uploads/2021/02/02.pdf,,,https://mellitahog.ly/wp-content/uploads/2021/02/02.pdf
3674,P6716,MOVE,"https://jpt.spe.org/saipem-secures-1-billion-contract-for-libyan-natural-gas-field, https://www.nsenergybusiness.com/projects/bouri-gas-utilisation-project-libya/?cf-view",,,"https://jpt.spe.org/saipem-secures-1-billion-contract-for-libyan-natural-gas-field, https://www.nsenergybusiness.com/projects/bouri-gas-utilisation-project-libya/?cf-view"
3849,P7447,MOVE,https://almalnews.com/9021/%D8%A8%D8%AA%D8%B1%D9%88%D8%A8%D9%84-%D8%AA%D8%B7%D9%88%D8%B1-%D8%AD%D9%82%D9%88%D9%84-%D8%AF%D9%86%D9%8A%D8%B3-%D9%88%D9%83%D8%B1%D9%88%D8%A7%D9%86-%D9%81%D9%89-%D8%A7%D9%84%D9%85%D8%AA/,,,https://almalnews.com/9021/%D8%A8%D8%AA%D8%B1%D9%88%D8%A8%D9%84-%D8%AA%D8%B7%D9%88%D8%B1-%D8%AD%D9%82%D9%88%D9%84-%D8%AF%D9%86%D9%8A%D8%B3-%D9%88%D9%83%D8%B1%D9%88%D8%A7%D9%86-%D9%81%D9%89-%D8%A7%D9%84%D9%85%D8%AA/
3974,P7574,CLEAR_DUPLICATE,https://petro-news.com/95212/,https://petro-news.com/95212/,,https://petro-news.com/95212/
